Plantation_ID,Crop_ID,Crop_Name,Crop_Life,Water_requirement,Area,Soil_Index,Longitude,Latitude,Last_Watered,Next_Watering_Date
A001,C01,Carrot,0.5,200,0.3,0.6,40.597863,-73.991693,13/10/2018,14/10/2018
A002,C02,Apple,6,100,0.1,0.5,40.645199,-73.97052,12/10/2018,14/10/2018
A003,C03,Orange,8,150,0.6,0.6,40.645199,-73.97052,13/10/2018,15/10/2018
A004,C03,Orange,8,150,0.3,0.5,40.618041,-74.031381,12/10/2018,14/10/2018
A005,C04,Potato,0.6,230,0.1,0.6,40.659882,-73.997016,12/10/2018,15/10/2018
A006,C01,Carrot,0.5,200,0.6,0.5,40.62782,-73.96574,13/10/2018,14/10/2018
A007,C02,Apple,6,100,0.3,0.6,40.695717,-73.919473,13/10/2018,15/10/2018
A008,C03,Orange,8,150,0.1,0.5,40.695717,-73.919473,12/10/2018,14/10/2018
A009,C03,Orange,8,150,0.6,0.6,40.625899,-73.996729,13/10/2018,15/10/2018
A010,C04,Potato,0.6,230,0.7,0.5,40.614466,-74.011425,12/10/2018,14/10/2018
